timestamp,temperature,heating,switch
2026-02-20T22:24:31.073510,21.5,True,True
2026-02-20T22:24:31.074124,22.1,False,True
2026-02-20T22:24:31.074413,23.0,False,False
2026-02-20T22:29:24.577064,18.75,False,False
2026-02-20T22:29:35.841680,18.75,False,False
2026-02-20T22:29:47.105499,18.75,False,False
2026-02-20T22:29:58.368780,18.69,False,False
2026-02-20T22:30:09.636018,18.81,False,False
2026-02-20T22:30:20.897408,18.88,False,False
2026-02-20T22:30:32.160826,19.0,False,False
2026-02-20T22:30:43.425439,19.0,False,False
2026-02-20T22:30:54.688818,19.0,False,False
2026-02-20T22:31:05.953453,18.94,False,False
2026-02-20T22:31:17.217491,18.94,False,False
2026-02-20T22:31:28.481457,18.94,False,False
2026-02-20T22:31:39.745514,18.88,False,False
2026-02-20T22:31:51.009587,18.88,False,False
2026-02-20T22:32:02.278309,18.88,False,False
2026-02-20T22:32:13.537550,18.88,False,False
2026-02-20T22:32:24.801524,18.88,False,False
2026-02-20T22:32:36.065632,18.81,False,False
2026-02-20T22:32:47.329420,18.81,False,False
2026-02-20T22:32:58.593478,18.81,False,False
2026-02-20T22:33:09.857455,18.81,False,False
2026-02-20T22:33:21.121458,18.81,False,False
2026-02-20T22:33:32.385351,18.81,False,False
2026-02-20T22:33:43.649582,18.81,False,False
2026-02-20T22:33:54.913225,18.81,False,False
2026-02-20T22:34:06.177499,18.81,False,False
2026-02-20T22:34:17.441940,18.81,False,False
2026-02-20T22:34:28.705490,18.81,False,False
2026-02-20T22:34:39.969455,18.81,False,False
2026-02-20T22:34:51.238155,18.75,False,False
2026-02-20T22:35:02.496898,18.75,False,False
2026-02-20T22:35:13.760832,18.75,False,False
2026-02-20T22:35:25.024886,18.75,False,False
2026-02-20T22:54:32.320968,18.5,False,False
2026-02-20T22:54:43.585515,18.56,False,False
2026-02-20T22:54:54.849508,18.62,False,False
2026-02-20T22:55:06.113491,18.62,False,False
2026-02-20T22:55:17.377516,18.62,False,False
2026-02-20T22:55:28.641483,18.62,False,False
2026-02-20T22:55:39.905336,18.62,False,False
2026-02-20T22:55:51.169484,18.62,False,False
2026-02-20T22:56:02.433470,18.62,False,False
2026-02-20T22:56:13.697519,18.56,False,False
2026-02-20T22:56:24.961615,18.56,False,False
2026-02-20T22:56:36.225400,18.56,False,False
2026-02-20T22:56:47.489415,18.62,False,False
2026-02-20T22:56:58.753491,18.56,False,False
2026-02-20T22:57:10.017513,18.56,False,False
2026-02-20T22:57:21.281487,18.56,False,False
2026-02-20T22:57:32.544896,18.56,False,False
2026-02-20T22:57:43.809585,18.56,False,False
2026-02-20T22:57:55.072869,18.62,False,False
2026-02-20T22:58:06.337014,18.62,False,False
2026-02-20T22:58:17.601505,18.62,False,False
2026-02-20T22:58:28.865436,18.62,False,False
2026-02-20T22:58:40.129609,18.62,False,False
2026-02-20T22:58:51.393490,18.62,False,False
2026-02-20T22:59:02.659522,18.62,False,False
2026-02-20T22:59:13.924991,18.62,False,False
2026-02-20T22:59:25.189700,18.62,False,False
2026-02-20T22:59:36.449582,18.62,False,False
2026-02-20T22:59:47.713481,18.62,False,False
2026-02-20T22:59:58.977496,18.62,False,False
2026-02-20T23:00:10.258015,18.62,False,False
2026-02-20T23:00:25.696964,18.62,False,False
2026-02-20T23:00:36.961504,18.81,False,False
2026-02-20T23:14:07.232940,18.81,False,False
2026-02-20T23:14:18.497976,18.88,False,False
2026-02-20T23:14:29.761503,18.88,False,False
2026-02-20T23:14:41.025508,18.94,False,False
2026-02-20T23:14:52.289516,19.06,False,False
2026-02-20T23:15:03.553441,19.06,False,False
2026-02-20T23:15:14.816913,19.06,False,False
2026-02-20T23:15:26.081485,19.12,False,False
2026-02-20T23:15:37.345480,19.44,False,False
2026-02-20T23:15:48.609482,23.25,False,False
2026-02-20T23:15:59.873953,25.62,False,False
2026-02-20T23:16:08.417613,24.88,False,False
2026-02-20T23:16:19.681536,24.56,False,False
2026-02-20T23:16:30.945531,24.44,False,False
2026-02-20T23:16:42.209473,24.38,False,False
2026-02-20T23:16:53.473534,24.44,False,False
2026-02-20T23:24:53.102148,18.81,False,False
2026-02-20T23:25:04.366491,18.94,False,False
2026-02-20T23:25:15.630469,19.0,False,False
2026-02-20T23:25:26.894383,19.12,False,False
2026-02-20T23:25:38.158467,19.12,False,False
2026-02-20T23:25:49.422483,19.12,False,False
2026-02-20T23:26:00.686483,19.12,False,False
